City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
334,Viedma,AR,10.5,clear sky,-40.8135,-62.9967,Hotel Cristal
335,Nantucket,US,19.52,overcast clouds,41.2835,-70.0995,Jared Coffin House
336,Bonavista,CA,16.73,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
337,Benghazi,LY,24.38,clear sky,32.1167,20.0667,Tibesti Hotel
338,Belmonte,BR,24.28,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
339,Dunedin,NZ,14.14,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
340,Lázaro Cárdenas,MX,28.49,few clouds,17.9583,-102.2,quinta antigua
341,Cockburn Town,TC,28.55,few clouds,21.4612,-71.1419,Osprey Beach Hotel
342,Soyo,AO,24.0,broken clouds,-6.1349,12.3689,Hotel Mpampa
343,St. George's,GD,27.55,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
344,Maragogi,BR,24.1,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
345,Taylorville,US,30.12,clear sky,39.5489,-89.2945,Economy Inn
346,Petropavlovsk-Kamchatskiy,RU,11.33,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
347,Bonthe,SL,25.12,moderate rain,7.5264,-12.505,Bonthe Holiday Village
348,Vrangel',RU,18.48,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
349,Arlit,NE,33.63,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
350,Santa Cruz de la Sierra,BO,30.53,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
351,Brazzaville,CG,24.55,overcast clouds,-4.2658,15.2832,Hotel Muesse
352,Campo Maior,BR,30.58,broken clouds,-4.8278,-42.1686,Elite Hotel
353,Capoterra,IT,21.41,scattered clouds,39.1763,8.9718,Ariedo Bed And Breakfast
354,Sarakhs,IR,18.41,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
355,Nemuro,JP,15.57,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
356,Camacha,PT,21.96,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
357,Padang,ID,24.03,overcast clouds,-0.9492,100.3543,Mercure Padang
358,Cayenne,GF,28.38,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
359,Edéia,BR,30.05,scattered clouds,-17.3383,-49.9314,Hotel Imperial Edeia
360,Altay,CN,6.76,scattered clouds,47.8667,88.1167,Jinqiao Hotel
361,Bengkulu,ID,23.86,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
362,Bulgan,MN,-0.25,overcast clouds,48.8125,103.5347,Unitel Булган салбар
363,Yoichi,JP,20.34,overcast clouds,43.2039,140.7703,Marumatta Farm 21
364,Bundaberg,AU,22.34,overcast clouds,-24.85,152.35,Takalvan Motel
365,Saint George,US,31.26,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
366,Abu Dhabi,AE,32.06,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
367,Haldwani,IN,23.97,few clouds,29.2167,79.5167,OYO Premium Nainital Road Haldwani
368,San Quintín,MX,21.41,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
370,Portland,US,18.07,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
371,Sola,VU,25.86,overcast clouds,-13.8833,167.55,Leumerus Bungalows
372,Acapulco de Juárez,MX,28.64,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
373,Lovington,US,28.47,clear sky,32.944,-103.3485,Buena vida rv parks
374,Homer,US,9.87,clear sky,59.6425,-151.5483,Beluga Lake Lodge
375,Lesnoy,RU,1.46,overcast clouds,57.6198,63.0784,Apartamenty Na Sovetskoy
376,Cap Malheureux,MU,22.48,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
377,Sorong,ID,26.82,overcast clouds,-0.8833,131.25,waigo splash hotel
378,Cervo,ES,16.65,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
